Node_Label,ID_,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_display,cat_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude
512328,512328,gla1213-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D07489,512328,,
349069,349069,gla1214-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,349069,,
424265,424265,gla1215-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,424265,,
597147,597147,gla1215-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,597147,,
212064,212064,glo204-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E7D3FA,212064,,
136937,136937,har10420-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE9C28,136937,,
325187,325187,har10421-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E8085A,325187,,
353465,353465,har10425-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CE5676,353465,,
517025,517025,hav1-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,517025,,
584105,584105,hrt1-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,3BD7EE,584105,,
404811,404811,hud434-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,404811,,
79581,79581,hud435-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,79581,,
240569,240569,hud435-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E8034F,240569,,
151762,151762,hud435-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE9CBD,151762,,
32086,32086,inv2484-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,7ED137,32086,,
606000,606000,inv2484-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E6E2E0,606000,,
164806,164806,inv2484-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,164806,,
166549,166549,inv2484-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,166549,,
589331,589331,inv2484-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,589331,,
39265,39265,ips192-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,7ED466,39265,,
90840,90840,ips192-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96804F,90840,,
588280,588280,ips192-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E77935,588280,,
644880,644880,ips192-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,644880,,
456502,456502,ips192-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E754A0,456502,,
562328,562328,ket1-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D4F534,562328,,
612734,612734,ket1-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,612734,,
637600,637600,ket1-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,637600,,
623111,623111,ket1-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D8D34B,623111,,
633720,633720,ket1-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,430A9D,633720,,
61180,61180,lec191-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,84B3E1,61180,,
124010,124010,lec191-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,124010,,
130749,130749,lec191-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE4BB3,130749,,
397513,397513,lec191-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,397513,,
115406,115406,lec191-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE7973,115406,,
235341,235341,lec191-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,235341,,
368969,368969,lec191-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,368969,,
484207,484207,lec191-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,484207,,
596733,596733,lec192-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,EA2893,596733,,
70947,70947,lec208-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,70947,,
