Node_Label, ID_, Parent_Foreign_Id, Parent_Foreign_Source, IP_Management, MgmtType_, svc_Forced, cat_type, cat_region, Asset_serialNumber, Asset_assetNumber, Asset_latitude, Asset_longitude
glo204-olt-1, glo204-olt-1, , , 172.20.0.248, N, , LTE, , , , , 
har10419-olt-1, har10419-olt-1, , , 172.20.0.249, N, , LTE, , , , , 
har10420-olt-2, har10420-olt-2, , , 172.20.0.250, N, , LTE, , , , , 
har10421-olt-3, har10421-olt-3, , , 172.20.0.251, N, , LTE, , , , , 
har10425-olt-3, har10425-olt-3, , , 172.20.0.252, N, , LTE, , , , , 
hav1-olt-1, hav1-olt-1, , , 172.20.0.253, N, , LTE, , , , , 
hrt1-olt-3, hrt1-olt-3, , , 172.20.0.254, N, , LTE, , , , , 
hud434-olt-1, hud434-olt-1, , , 172.20.0.255, N, , LTE, , , , , 
hud435-olt-1, hud435-olt-1, , , 172.20.1.0, N, , LTE, , , , , 
hud435-olt-3, hud435-olt-3, , , 172.20.1.1, N, , LTE, , , , , 
inv2484-olt-1, inv2484-olt-1, , , 172.20.1.2, N, , LTE, , , , , 
inv2484-olt-3, inv2484-olt-3, , , 172.20.1.3, N, , LTE, , , , , 
ips192-olt-1, ips192-olt-1, , , 172.20.1.4, N, , LTE, , , , , 
ips192-olt-3, ips192-olt-3, , , 172.20.1.5, N, , LTE, , , , , 
ket1-olt-1, ket1-olt-1, , , 172.20.1.6, N, , LTE, , , , , 
ket1-olt-3, ket1-olt-3, , , 172.20.1.7, N, , LTE, , , , , 
ket1-olt-5, ket1-olt-5, , , 172.20.1.8, N, , LTE, , , , , 
lec191-olt-1, lec191-olt-1, , , 172.20.1.9, N, , LTE, , , , , 
lec191-olt-3, lec191-olt-3, , , 172.20.1.10, N, , LTE, , , , , 
lec192-olt-3, lec192-olt-3, , , 172.20.1.11, N, , LTE, , , , , 
lec208-olt-1, lec208-olt-1, , , 172.20.1.12, N, , LTE, , , , , 
lec208-olt-3, lec208-olt-3, , , 172.20.1.13, N, , LTE, , , , , 
lec208-olt-5, lec208-olt-5, , , 172.20.1.14, N, , LTE, , , , , 
lec209-olt-1, lec209-olt-1, , , 172.20.1.15, N, , LTE, , , , , 
lee1957-olt-1, lee1957-olt-1, , , 172.20.1.16, N, , LTE, , , , , 
lee1957-olt-3, lee1957-olt-3, , , 172.20.1.17, N, , LTE, , , , , 
lee1957-olt-5, lee1957-olt-5, , , 172.20.1.18, N, , LTE, , , , , 
lee1959-olt-1, lee1959-olt-1, , , 172.20.1.19, N, , LTE, , , , , 
lee1959-olt-3, lee1959-olt-3, , , 172.20.1.20, N, , LTE, , , , , 
lee1959-olt-7, lee1959-olt-7, , , 172.20.1.21, N, , LTE, , , , , 
lee1961-olt-1, lee1961-olt-1, , , 172.20.1.22, N, , LTE, , , , , 
lee1961-olt-10, lee1961-olt-10, , , 172.20.1.23, N, , LTE, , , , , 
lee1985-olt-1, lee1985-olt-1, , , 172.20.1.24, N, , LTE, , , , , 
lee1985-olt-3, lee1985-olt-3, , , 172.20.1.25, N, , LTE, , , , , 
lee1985-olt-7, lee1985-olt-7, , , 172.20.1.26, N, , LTE, , , , , 
low108-olt-1, low108-olt-1, , , 172.20.1.27, N, , LTE, , , , , 
low108-olt-3, low108-olt-3, , , 172.20.1.28, N, , LTE, , , , , 
low108-olt-5, low108-olt-5, , , 172.20.1.29, N, , LTE, , , , , 
lut3-olt-1, lut3-olt-1, , , 172.20.1.30, N, , LTE, , , , , 
mdh78-olt-1, mdh78-olt-1, , , 172.20.1.31, N, , LTE, , , , , 
mdh78-olt-5, mdh78-olt-5, , , 172.20.1.32, N, , LTE, , , , , 
mid1-olt-1, mid1-olt-1, , , 172.20.1.33, N, , LTE, , , , , 
mk901-olt-10, mk901-olt-10, , , 172.20.1.34, N, , LTE, , , , , 
mk901-olt-2, mk901-olt-2, , , 172.20.1.35, N, , LTE, , , , , 
mk901-olt-3, mk901-olt-3, , , 172.20.1.36, N, , LTE, , , , , 
mk901-olt-5, mk901-olt-5, , , 172.20.1.37, N, , LTE, , , , , 
mk901-olt-7, mk901-olt-7, , , 172.20.1.38, N, , LTE, , , , , 
mk938-olt-2, mk938-olt-2, , , 172.20.1.39, N, , LTE, , , , , 
mk938-olt-3, mk938-olt-3, , , 172.20.1.40, N, , LTE, , , , , 
mk938-olt-5, mk938-olt-5, , , 172.20.1.41, N, , LTE, , , , , 
mk938-olt-7, mk938-olt-7, , , 172.20.1.42, N, , LTE, , , , , 
nor340-olt-1, nor340-olt-1, , , 172.20.1.43, N, , LTE, , , , , 
nor340-olt-3, nor340-olt-3, , , 172.20.1.44, N, , LTE, , , , , 
nor340-olt-5, nor340-olt-5, , , 172.20.1.45, N, , LTE, , , , , 
nor341-olt-1, nor341-olt-1, , , 172.20.1.46, N, , LTE, , , , , 
nor341-olt-3, nor341-olt-3, , , 172.20.1.47, N, , LTE, , , , , 
nor341-olt-7, nor341-olt-7, , , 172.20.1.48, N, , LTE, , , , , 
not238-olt-1, not238-olt-1, , , 172.20.1.49, N, , LTE, , , , , 
not238-olt-3, not238-olt-3, , , 172.20.1.50, N, , LTE, , , , , 
not238-olt-5, not238-olt-5, , , 172.20.1.51, N, , LTE, , , , , 
now1-olt-1, now1-olt-1, , , 172.20.1.52, N, , LTE, , , , , 
nwc19-olt-1, nwc19-olt-1, , , 172.20.1.53, N, , LTE, , , , , 
nwc19-olt-3, nwc19-olt-3, , , 172.20.1.54, N, , LTE, , , , , 
nwc19-olt-7, nwc19-olt-7, , , 172.20.1.55, N, , LTE, , , , , 
nwc20-olt-1, nwc20-olt-1, , , 172.20.1.56, N, , LTE, , , , , 
nwc21-olt-3, nwc21-olt-3, , , 172.20.1.57, N, , LTE, , , , , 
pb1344-olt-2, pb1344-olt-2, , , 172.20.1.58, N, , LTE, , , , , 
pb1344-olt-3, pb1344-olt-3, , , 172.20.1.59, N, , LTE, , , , , 
pb1344-olt-5, pb1344-olt-5, , , 172.20.1.60, N, , LTE, , , , , 
pb1344-olt-7, pb1344-olt-7, , , 172.20.1.61, N, , LTE, , , , , 
pb1353-olt-1, pb1353-olt-1, , , 172.20.1.62, N, , LTE, , , , , 
pb1353-olt-3, pb1353-olt-3, , , 172.20.1.63, N, , LTE, , , , , 
ply20-olt-1, ply20-olt-1, , , 172.20.1.64, N, , LTE, , , , , 
pol1-olt-1, pol1-olt-1, , , 172.20.1.65, N, , LTE, , , , , 
pol1-olt-3, pol1-olt-3, , , 172.20.1.66, N, , LTE, , , , , 
pol1-olt-7, pol1-olt-7, , , 172.20.1.67, N, , LTE, , , , , 
por69-olt-1, por69-olt-1, , , 172.20.1.68, N, , LTE, , , , , 
por69-olt-3, por69-olt-3, , , 172.20.1.69, N, , LTE, , , , , 
por71-olt-1, por71-olt-1, , , 172.20.1.70, N, , LTE, , , , , 
por71-olt-3, por71-olt-3, , , 172.20.1.71, N, , LTE, , , , , 
pre2-olt-1, pre2-olt-1, , , 172.20.1.72, N, , LTE, , , , , 
rea282-olt-1, rea282-olt-1, , , 172.20.1.73, N, , LTE, , , , , 
rea282-olt-3, rea282-olt-3, , , 172.20.1.74, N, , LTE, , , , , 
rea282-olt-5, rea282-olt-5, , , 172.20.1.75, N, , LTE, , , , , 
rea283-olt-1, rea283-olt-1, , , 172.20.1.76, N, , LTE, , , , , 
rea283-olt-3, rea283-olt-3, , , 172.20.1.77, N, , LTE, , , , , 
rea283-olt-5, rea283-olt-5, , , 172.20.1.78, N, , LTE, , , , , 
ren1-olt-1, ren1-olt-1, , , 172.20.1.79, N, , LTE, , , , , 
ren1-olt-3, ren1-olt-3, , , 172.20.1.80, N, , LTE, , , , , 
ren1-olt-5, ren1-olt-5, , , 172.20.1.81, N, , LTE, , , , , 
rot36-olt-1, rot36-olt-1, , , 172.20.1.82, N, , LTE, , , , , 
rot36-olt-3, rot36-olt-3, , , 172.20.1.83, N, , LTE, , , , , 
rot36-olt-5, rot36-olt-5, , , 172.20.1.84, N, , LTE, , , , , 
se372-olt-1, se372-olt-1, , , 172.20.1.85, N, , LTE, , , , , 
se372-olt-3, se372-olt-3, , , 172.20.1.86, N, , LTE, , , , , 
se372-olt-5, se372-olt-5, , , 172.20.1.87, N, , LTE, , , , , 
se372-olt-7, se372-olt-7, , , 172.20.1.88, N, , LTE, , , , , 
se383-olt-1, se383-olt-1, , , 172.20.1.89, N, , LTE, , , , , 
se383-olt-3, se383-olt-3, , , 172.20.1.90, N, , LTE, , , , , 
se383-olt-7, se383-olt-7, , , 172.20.1.91, N, , LTE, , , , , 
she503-olt-1, she503-olt-1, , , 172.20.1.92, N, , LTE, , , , , 
she503-olt-3, she503-olt-3, , , 172.20.1.93, N, , LTE, , , , , 
she504-olt-1, she504-olt-1, , , 172.20.1.94, N, , LTE, , , , , 
she504-olt-3, she504-olt-3, , , 172.20.1.95, N, , LTE, , , , , 
slo664-olt-1, slo664-olt-1, , , 172.20.1.96, N, , LTE, , , , , 
slo664-olt-3, slo664-olt-3, , , 172.20.1.97, N, , LTE, , , , , 
sol1-olt-1, sol1-olt-1, , , 172.20.1.98, N, , LTE, , , , , 
sol1-olt-3, sol1-olt-3, , , 172.20.1.99, N, , LTE, , , , , 
sol1-olt-5, sol1-olt-5, , , 172.20.1.100, N, , LTE, , , , , 
sol1-olt-7, sol1-olt-7, , , 172.20.1.101, N, , LTE, , , , , 
str80-olt-2, str80-olt-2, , , 172.20.1.102, N, , LTE, , , , , 
str80-olt-3, str80-olt-3, , , 172.20.1.103, N, , LTE, , , , , 
sun17-olt-1, sun17-olt-1, , , 172.20.1.104, N, , LTE, , , , , 
sun18-olt-1, sun18-olt-1, , , 172.20.1.105, N, , LTE, , , , , 
swi42-olt-1, swi42-olt-1, , , 172.20.1.106, N, , LTE, , , , , 
swi42-olt-3, swi42-olt-3, , , 172.20.1.107, N, , LTE, , , , , 
swi42-olt-5, swi42-olt-5, , , 172.20.1.108, N, , LTE, , , , , 
swi43-olt-1, swi43-olt-1, , , 172.20.1.109, N, , LTE, , , , , 
swi43-olt-3, swi43-olt-3, , , 172.20.1.110, N, , LTE, , , , , 
wk245-olt-5, wk245-olt-5, , , 172.20.1.111, N, , LTE, , , , , 
wol7-olt-1, wol7-olt-1, , , 172.20.1.112, N, , LTE, , , , , 
wol7-olt-7, wol7-olt-7, , , 172.20.1.113, N, , LTE, , , , , 
wol8-olt-3, wol8-olt-3, , , 172.20.1.114, N, , LTE, , , , , 
wol8-olt-5, wol8-olt-5, , , 172.20.1.115, N, , LTE, , , , , 
wol8-olt-7, wol8-olt-7, , , 172.20.1.116, N, , LTE, , , , , 
wor56-olt-1, wor56-olt-1, , , 172.20.1.117, N, , LTE, , , , , 
wor56-olt-3, wor56-olt-3, , , 172.20.1.118, N, , LTE, , , , , 
wrc2664-olt-3, wrc2664-olt-3, , , 172.20.1.119, N, , LTE, , , , , 
wrc2665-olt-1, wrc2665-olt-1, , , 172.20.1.120, N, , LTE, , , , , 
wrc2666-olt-1, wrc2666-olt-1, , , 172.20.1.121, N, , LTE, , , , , 
wsm16-olt-1, wsm16-olt-1, , , 172.20.1.122, N, , LTE, , , , , 
yo94291-olt-1, yo94291-olt-1, , , 172.20.1.123, N, , LTE, , , , , 
yo94292-olt-1, yo94292-olt-1, , , 172.20.1.124, N, , LTE, , , , , 
yo94298-olt-1, yo94298-olt-1, , , 172.20.1.125, N, , LTE, , , , , 
yo94298-olt-3, yo94298-olt-3, , , 172.20.1.126, N, , LTE, , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
LT1-blk1-olt-301_PRIMARY, LT1-blk1-olt-301_PRIMARY, LT1-blk1-olt-301, gpon2, , N, , PRIMARY_NODE, , , , , 
LT1-blk1-olt-302_PRIMARY, LT1-blk1-olt-302_PRIMARY, LT1-blk1-olt-302, gpon2, , N, , PRIMARY_NODE, , , , , 
LT1-lou3-olt-301_PRIMARY, LT1-lou3-olt-301_PRIMARY, LT1-lou3-olt-301, gpon2, , N, , PRIMARY_NODE, , , , , 
LT1-mid1-olt-503_PRIMARY, LT1-mid1-olt-503_PRIMARY, LT1-mid1-olt-503, gpon2, , N, , PRIMARY_NODE, , , , , 
LT1-mid10337-olt-301_PRIMARY, LT1-mid10337-olt-301_PRIMARY, LT1-mid10337-olt-301, gpon2, , N, , PRIMARY_NODE, , , , , 
LT1-she504-olt-702_PRIMARY, LT1-she504-olt-702_PRIMARY, LT1-she504-olt-702, gpon2, , N, , PRIMARY_NODE, , , , , 
LT1-she506-olt-101_PRIMARY, LT1-she506-olt-101_PRIMARY, LT1-she506-olt-101, gpon2, , N, , PRIMARY_NODE, , , , , 
LT1-test301-olt-101_PRIMARY, LT1-test301-olt-101_PRIMARY, LT1-test301-olt-101, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-gry1-olt-303_PRIMARY, LT2-gry1-olt-303_PRIMARY, LT2-gry1-olt-303, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-hav1-olt-303_PRIMARY, LT2-hav1-olt-303_PRIMARY, LT2-hav1-olt-303, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-hav1-olt-304_PRIMARY, LT2-hav1-olt-304_PRIMARY, LT2-hav1-olt-304, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-lou3-olt-101_PRIMARY, LT2-lou3-olt-101_PRIMARY, LT2-lou3-olt-101, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-mid1-olt-502_PRIMARY, LT2-mid1-olt-502_PRIMARY, LT2-mid1-olt-502, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-mid1-olt-504_PRIMARY, LT2-mid1-olt-504_PRIMARY, LT2-mid1-olt-504, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-not238-olt-701_PRIMARY, LT2-not238-olt-701_PRIMARY, LT2-not238-olt-701, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-not238-olt-702_PRIMARY, LT2-not238-olt-702_PRIMARY, LT2-not238-olt-702, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-she503-olt-502_PRIMARY, LT2-she503-olt-502_PRIMARY, LT2-she503-olt-502, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-she504-olt-702_PRIMARY, LT2-she504-olt-702_PRIMARY, LT2-she504-olt-702, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-sun18-olt-501_PRIMARY, LT2-sun18-olt-501_PRIMARY, LT2-sun18-olt-501, gpon2, , N, , PRIMARY_NODE, , , , , 
LT2-sun19-olt-302_PRIMARY, LT2-sun19-olt-302_PRIMARY, LT2-sun19-olt-302, gpon2, , N, , PRIMARY_NODE, , , , , 
abd860-olt-2_PRIMARY, abd860-olt-2_PRIMARY, abd860-olt-2, gpon2, , N, , PRIMARY_NODE, , , , , 
abd860-olt-3_PRIMARY, abd860-olt-3_PRIMARY, abd860-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
abd860-olt-5_PRIMARY, abd860-olt-5_PRIMARY, abd860-olt-5, gpon2, , N, , PRIMARY_NODE, , , , , 
abd873-olt-10_PRIMARY, abd873-olt-10_PRIMARY, abd873-olt-10, gpon2, , N, , PRIMARY_NODE, , , , , 
abd873-olt-2_PRIMARY, abd873-olt-2_PRIMARY, abd873-olt-2, gpon2, , N, , PRIMARY_NODE, , , , , 
abd873-olt-3_PRIMARY, abd873-olt-3_PRIMARY, abd873-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
abd873-olt-5_PRIMARY, abd873-olt-5_PRIMARY, abd873-olt-5, gpon2, , N, , PRIMARY_NODE, , , , , 
bar9-olt-1_PRIMARY, bar9-olt-1_PRIMARY, bar9-olt-1, gpon2, , N, , PRIMARY_NODE, , , , , 
bar9-olt-3_PRIMARY, bar9-olt-3_PRIMARY, bar9-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
bn1-olt-8_PRIMARY, bn1-olt-8_PRIMARY, bn1-olt-8, gpon2, , N, , PRIMARY_NODE, , , , , 
bn7344-olt-3_PRIMARY, bn7344-olt-3_PRIMARY, bn7344-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
bn7344-olt-4_PRIMARY, bn7344-olt-4_PRIMARY, bn7344-olt-4, gpon2, , N, , PRIMARY_NODE, , , , , 
bn7348-olt-2_PRIMARY, bn7348-olt-2_PRIMARY, bn7348-olt-2, gpon2, , N, , PRIMARY_NODE, , , , , 
bn7349-olt-2_PRIMARY, bn7349-olt-2_PRIMARY, bn7349-olt-2, gpon2, , N, , PRIMARY_NODE, , , , , 
bn7349-olt-3_PRIMARY, bn7349-olt-3_PRIMARY, bn7349-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
bn7349-olt-4_PRIMARY, bn7349-olt-4_PRIMARY, bn7349-olt-4, gpon2, , N, , PRIMARY_NODE, , , , , 
bog28-olt-3_PRIMARY, bog28-olt-3_PRIMARY, bog28-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
bou20868-olt-1_PRIMARY, bou20868-olt-1_PRIMARY, bou20868-olt-1, gpon2, , N, , PRIMARY_NODE, , , , , 
bou20868-olt-3_PRIMARY, bou20868-olt-3_PRIMARY, bou20868-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
bou8420-olt-1_PRIMARY, bou8420-olt-1_PRIMARY, bou8420-olt-1, gpon2, , N, , PRIMARY_NODE, , , , , 
bou8420-olt-3_PRIMARY, bou8420-olt-3_PRIMARY, bou8420-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
bou8420-olt-5_PRIMARY, bou8420-olt-5_PRIMARY, bou8420-olt-5, gpon2, , N, , PRIMARY_NODE, , , , , 
bra369-olt-1_PRIMARY, bra369-olt-1_PRIMARY, bra369-olt-1, gpon2, , N, , PRIMARY_NODE, , , , , 
bra371-olt-3_PRIMARY, bra371-olt-3_PRIMARY, bra371-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
brh3-olt-1_PRIMARY, brh3-olt-1_PRIMARY, brh3-olt-1, gpon2, , N, , PRIMARY_NODE, , , , , 
brh4-olt-1_PRIMARY, brh4-olt-1_PRIMARY, brh4-olt-1, gpon2, , N, , PRIMARY_NODE, , , , , 
brk280-olt-1_PRIMARY, brk280-olt-1_PRIMARY, brk280-olt-1, gpon2, , N, , PRIMARY_NODE, , , , , 
brk280-olt-3_PRIMARY, brk280-olt-3_PRIMARY, brk280-olt-3, gpon2, , N, , PRIMARY_NODE, , , , , 
brk280-olt-5_PRIMARY, brk280-olt-5_PRIMARY, brk280-olt-5, gpon2, , N, , PRIMARY_NODE, , , , , 
bse46-olt-1_PRIMARY, bse46-olt-1_PRIMARY, bse46-olt-1, gpon2, , N, , PRIMARY_NODE, , , , , 
